"item_reference","x","y","z","row","column","block"
1003893790,10.025,1.2,0.64,3,5,"1.E"
1003893916,10.05,1.2,0.64,3,5,"1.E"
1001665623,10.075,1.2,0.64,3,5,"1.E"
1005911292,10.1,1.2,0.64,3,5,"1.E"
1006451517,10.125,1.2,0.64,3,5,"1.E"
1007087773,10.15,1.2,0.64,3,5,"1.E"
1006848968,10.175,1.2,0.64,3,5,"1.E"
1006848878,10.2,1.2,0.64,3,5,"1.E"
1006848869,10.225,1.2,0.64,3,5,"1.E"
1002216080,10.25,1.2,0.64,3,5,"1.E"
1006032729,10.275,1.2,0.64,3,5,"1.E"
1006032981,10.3,1.2,0.64,3,5,"1.E"
1004759338,10.325,1.2,0.64,3,5,"1.E"
1003887409,10.35,1.2,0.64,3,5,"1.E"
1005147606,10.375,1.2,0.64,3,5,"1.E"
1004724697,10.4,1.2,0.64,3,5,"1.E"
1004725056,10.425,1.2,0.64,3,5,"1.E"
1000445268,10.45,1.2,0.64,3,5,"1.E"
1000709850,10.475,1.2,0.64,3,5,"1.E"
1000709869,10.5,1.2,0.64,3,5,"1.E"
1000709968,10.525,1.2,0.64,3,5,"1.E"
1001300320,10.55,1.2,0.64,3,5,"1.E"
1006895164,10.575,1.2,0.64,3,5,"1.E"
1003413459,11,1.7,0.64,3,1,"1.F"
1003413503,10.9790697674,1.7,0.64,3,1,"1.F"
1003765648,10.9581395349,1.7,0.64,3,1,"1.F"
1005635703,10.9372093023,1.7,0.64,3,1,"1.F"
1005827368,10.9162790698,1.7,0.64,3,1,"1.F"
1005827566,10.8953488372,1.7,0.64,3,1,"1.F"
1005827683,10.8744186047,1.7,0.64,3,1,"1.F"
1004723247,10.8534883721,1.7,0.64,3,1,"1.F"
1004723364,10.8325581395,1.7,0.64,3,1,"1.F"
1004723436,10.811627907,1.7,0.64,3,1,"1.F"
1002260621,10.7906976744,1.7,0.64,3,1,"1.F"
1004317176,10.7697674419,1.7,0.64,3,1,"1.F"
1004799839,10.7488372093,1.7,0.64,3,1,"1.F"
1002314478,10.7279069767,1.7,0.64,3,1,"1.F"
1003231866,10.7069767442,1.7,0.64,3,1,"1.F"
1007409694,10.6860465116,1.7,0.64,3,1,"1.F"
1001064279,10.6651162791,1.7,0.64,3,1,"1.F"
1001417718,10.6441860465,1.7,0.64,3,1,"1.F"
1001787655,10.623255814,1.7,0.64,3,1,"1.F"
1006063004,10.6023255814,1.7,0.64,3,1,"1.F"
1005872575,10.5813953488,1.7,0.64,3,1,"1.F"
1005659013,10.5604651163,1.7,0.64,3,1,"1.F"
1002318645,10.5395348837,1.7,0.64,3,1,"1.F"
1002798021,10.5186046512,1.7,0.64,3,1,"1.F"
1004795563,10.4976744186,1.7,0.64,3,1,"1.F"
1002922112,10.476744186,1.7,0.64,3,1,"1.F"
1001242055,10.4558139535,1.7,0.64,3,1,"1.F"
1007086053,10.4139534884,1.7,0.64,3,1,"1.F"
1000754409,10.3930232558,1.7,0.64,3,1,"1.F"
1003761165,10.3720930233,1.7,0.64,3,1,"1.F"
1003940922,10.3511627907,1.7,0.64,3,1,"1.F"
1003940931,10.3302325581,1.7,0.64,3,1,"1.F"
1004756980,10.3093023256,1.7,0.64,3,1,"1.F"
1006862818,10.288372093,1.7,0.64,3,1,"1.F"
1006862836,10.2465116279,1.7,0.64,3,1,"1.F"
1005161222,10.2255813953,1.7,0.64,3,1,"1.F"
1005628512,10.2046511628,1.7,0.64,3,1,"1.F"
1001653662,10.1837209302,1.7,0.64,3,1,"1.F"
1003397908,10.1627906977,1.7,0.64,3,1,"1.F"
1003398024,10.1418604651,1.7,0.64,3,1,"1.F"
1003398141,10.1209302326,1.7,0.64,3,1,"1.F"
1000855795,10.075,1.7,0.64,3,2,"1.F"
1000855803,10.05,1.7,0.64,3,2,"1.F"
1000855812,10.025,1.7,0.64,3,2,"1.F"
1003785295,10,1.7,0.64,3,2,"1.F"
1005952945,9.975,1.7,0.64,3,2,"1.F"
1002656037,9.95,1.7,0.64,3,2,"1.F"
1000517286,9.925,1.7,0.64,3,2,"1.F"
1000560260,9.9,1.7,0.64,3,2,"1.F"
1003956619,9.875,1.7,0.64,3,2,"1.F"
1006011948,9.85,1.7,0.64,3,2,"1.F"
1006011957,9.825,1.7,0.64,3,2,"1.F"
1002881000,9.8,1.7,0.64,3,2,"1.F"
1000734500,9.775,1.7,0.64,3,2,"1.F"
1000430011,9.75,1.7,0.64,3,2,"1.F"
1001455572,9.725,1.7,0.64,3,2,"1.F"
1005161862,9.7,1.7,0.64,3,2,"1.F"
1004717028,9.675,1.7,0.64,3,2,"1.F"
